Chinese,English 
它在,it is at
校验子项,check child
是为了解决异步问题,is to solve the asynchronous problem
格子起始位置的纵坐标,The vertical coordinate of the starting position of the grid
向后插入组件,Insert components backwards
所有列表选择类控件的父级,The parent of all list selection controls
来实现数据接口轮询功能,To realize the data interface polling function
是否展示关闭按钮,Whether to show the close button
的时候执行,execute when
文件上传到服务器,file upload to server
在以下场合并不适合,Not suitable for
描述信息,Description
的默认全部展开,Expand all by default
支持属性,Support attributes
单层循环,single loop
两侧按钮,Buttons on both sides
一次是,once
图标和文案,Icons and Copywriting
文字信息,text information
来了,coming
海晏县,Haiyan County
是指触发按钮动作时能够获取到的数据,Refers to the data that can be obtained when the button action is triggered
如何实现左侧导航栏页面跳转,How to realize the page jump of the left navigation bar
万载县,Wanzai County
很粗暴也存在风险,rough and risky
已勾选,checked
当然也可以直接这样更新,"Of course, it can also be updated directly like this"
包在,wrapped in
避免循环引用死循环,Avoid circular reference infinite loop
南靖县,Nanjing County
当在,when in
默认表单提交,Default form submission
阻止原有组件的动作行为,Prevent the action behavior of the original component
渲染组件选择配置项,Render component selection configuration item
馆陶县,Guantao County
可选择是否使用接口返回值预填充,It is optional whether to use interface return value pre-population
永仁县,Yongren County
个选中态时直接返回,Return directly when a selected state
酒泉市,Jiuquan City
即通过上下方向键控制是否生效,"That is, control whether it takes effect through the up and down arrow keys"
无论是邮箱还是用户名修改,Whether it is email address or username modification
这里不考虑父级节点还可能会有其它兄弟节点的情况了,This does not consider the situation that the parent node may have other sibling nodes
阿里,Ali
平利县,Pingli County
三峡区,Three Gorges District
的另一种标题展现样式,Another title display style for
支持的相对值关键字除了,Supported relative value keywords except
不包含在数据值中,not included in the data value
反选,reverse election
这时需要设置,At this time need to set
青浦区,Qingpu District
姚安县,Yao'an County
横峰县,Hengfeng County
对日期进行加减天,Add or subtract days from a date
指定为任务类型,specified as task type
当设置此值后,After setting this value
自动给同名的表单项设置默认值,Automatically set default values for form items with the same name
绵竹市,Mianzhu City
组件用于在一行展示多个表单项,Component used to display multiple form items in a row
可以设置左侧图标,You can set the icon on the left
属性来自定义编辑器的展现,Attributes to customize the display of the editor
太鲁阁,Taroko
校验规则名称,Validation rule name
此处保险起见先只处理,"For the sake of insurance, only deal with"
额外加个,add an extra
主颜色,main color
自动适配,automatic adaptation
是否显示背景间隔,Whether to display the background interval
边距选择器,margin selector
不传参数即执行所有销毁函数,Execute all destroy functions without passing parameters
设置按钮卡片,Settings button card
可以通过对应的,through the corresponding
获取不同的,get different
报错提示,Error message
起始位置,starting point
双河市,Shuanghe City
默认数字,default number
请在此设置,please set here
其中绝对和固定可实现特殊布局,"Among them, absolute and fixed can realize special layout"
渲染内容区,render content area
开启时,when turned on
配置转脚手架配置,Configure to Scaffolding Configuration
尖扎县,Jianzha County
类型的渲染器注册,type of renderer registration
介绍,introduce
注册自定义动作,Register a custom action
是初始数据,is the initial data
用来指定跳转地址,Used to specify the jump address
则列的优先级更高,then the column has higher priority
菜单项的三级及以下将被隐藏,Level 3 and below of menu items will be hidden
可断定,It can be concluded
车城乡,Che Chengxiang
将搜索记录保存到,Save search history to
图片描述,image description
用于判断是否出现在组件面板中,Used to determine whether it appears in the component panel
自动使用目标地址值,Automatically use destination address value
如果有,If there is
当值均为,When the value is
父表单,parent form
选中回调方法,Select the callback method
接下来我们编写组件所需的样式,Next we write the styles required by the component
利津县,Lijin County
季度范围,quarter range
双牌县,Shuangpai County
支持设置,support settings
应该这么配置,Should be configured like this
时是否是直播,Is it live
内容没办法全部显示完,There is no way to display all the content
双桥区,Shuangqiao District
上的,Up
肯定是数组,must be an array
朝阳市市辖区,District of Chaoyang City
是否开启应用国际化,Whether to enable application internationalization
里面的表单数据,form data inside
不同分块方式,different chunking methods
主要是用于后续上传的时候获得用户名,It is mainly used to obtain the user name during subsequent uploads
来获取数组索引,to get the array index
山治,Sanji
如果存在指定组件,If the specified component exists
每个格子最外层容器的,The outermost container of each grid
更新的值,updated value
获取年份的星期,Get the week of the year
且无展开收起按钮,And no expand collapse button
是所以目前是用两者结合的方式,"Yes, so currently it is a combination of the two"
组件间联动更新,Linkage update between components
默认会检测两层节点的数据是否发生变化,"By default, it will detect whether the data of the two-tier nodes has changed"
日,day
解析结果将会是,The parsed result will be
无展开按钮,no expand button
这样方便编辑,so easy to edit
配置相似,Configuration is similar
重复步骤,repeat steps
切换而变化,switch to change
主题色,theme color
配置当前行为类型是,Configure the current behavior type is
的插件根据优先级决定是否,The plugin decides whether to
大英县,Daying County
自定义响应浮层元素,Custom responsive floating layer elements
曹妃甸区,Caofeidian District
可能会导致不一致性的问题,problems that can cause inconsistencies
进行处理,to process
光标移动上来的点的颜色值,The color value of the point where the cursor moves up
清空选中项,clear selection
入口在,entrance at
是否显示展开线,whether to show expanded lines
参考了,Reference
请简单描述你想要实现的原始场景,Please briefly describe the original scenario you want to achieve
整个刻度标记对象,the entire tickmark object
发送目标地址,send destination address
配置详情,configuration details
但是也可以设定另外一个,But it is also possible to set another
数据域中取变量集合,Get variable set in data field
远程上传请求成功后返回的结果数据,The result data returned after the remote upload request is successful
山城区,Yamashiro
吸底容器,Suction container
东石乡,Dongshi Township
等用户确认后才进行相应的操作,Wait for the user to confirm before performing the corresponding operation
可复制新增行,New row can be copied
代县,Dai County
编辑器也没提供,The editor also does not provide
标签位置,label position
如果你觉得还不够灵活可以通过自己手写逻辑代码来完成配置,"If you think it is not flexible enough, you can complete the configuration by handwriting the logic code yourself"
增删改查渲染器,CRUD Renderer
视频是否自动播放,Whether the video plays automatically
忻州市,Xinzhou
分步提交,step-by-step submission
水平布局时标题宽度为,The title width in horizontal layout is
来触发这些动作,to trigger these actions
河池市,Hechi City
配置项内容,Configuration item content
具体细节请参考,"For details, please refer to"
居住地址,Residential Address
日期时间相关,date time related
方式二,way two
默认不使用连接符,Connectors are not used by default
青神县,Qingshen County
南通市,Nantong city
偶数行,even row
铁西区,Tiexi District
来被父容器控制,to be controlled by the parent container
如以上例子,as above example
龟山乡,Guishan Township
每行的第一个下拉框的选择来决定所在行记录中的第二个下拉框是否显示,The selection of the first drop-down box in each row determines whether the second drop-down box in the record of the row is displayed
切换按钮的文字,Text of the toggle button
单选禁用,radio disabled
它其实有,it actually has
检测,detection
已展开的,Expanded
渲染链接,render link
奉贤区,Fengxian District
可以通过表达式函数,Can pass expression function
选中的行数据集合的首个元素的字段,The field of the first element of the selected row data set
列表开启多选模式,Enable multi-select mode for the list
提供两种特殊的注册渲染器的方式,Provides two special ways to register renderers
这里要跟对应的渲染器名字对应上,Here you need to correspond to the corresponding renderer name
思明区,Siming District
基本的分页,basic pagination
升序还是降序,ascending or descending
标题右侧信息,Information on the right side of the title
上级页面上级页面上级页面上级页面上级页面,parent page parent page parent page parent page parent page
传递的值应该是类似,The value passed should be something like
方法来完成,method to complete
山阳区,Sanyang District
覆盖默认消息提示,Override the default message prompt
在接口存在的时候,when the interface exists
为了避免循环引用,To avoid circular references
在没有,In the absence of
海阳市,Haiyang City
隐藏表达式,hidden expression
获取当前上下文,get the current context
每一次触发计算都会变化,Every trigger calculation will change
默认播放的时候到了下一帧会继续播放,"When playing by default, the next frame will continue to play"
平遥县,Pingyao County
规则主要包含,The rules mainly include
比如下面的配置给表单增加了边框,"For example, the following configuration adds a border to the form"
和多选模式有关,related to multi-select mode
一把,a handful
所以要有连接符,So there must be a connector
支持更新指定索引的数据,Support updating the data of the specified index
删除场景,delete scene
整数集合,set of integers
思茅区,Simao District
益阳市,Yiyang City
千阳县,Qianyang County
就行了,on the line
包含每个,contains each
是否第一个日期在第二个日期的后面,Whether the first date is after the second date
雅安市市辖区,District of Ya'an City
全选时触发,Triggered when all is selected
是否是日期类组件使用,Is it used by date class components
新抚区,Xinfu District
还没实现,Not yet
逗号连接,comma join
有的月份有,some months have
等于初始化的日期,equal to the date of initialization
进行国际化翻译,Do international translation
另外如果想让,"In addition, if you want"
洪雅县,Hongya County
就不渲染空格,do not render spaces
不选文案,no copywriting
就超出单元格的区域了,beyond the range of the cell
展开行配置,Expand row configuration
当前输入值可用,The current input value is available
切换至选项卡,switch to tab
模板有点多,There are a lot of templates
是否为只读模式,Is it in read-only mode
点击打开,click to open
代码变化,code changes
关西镇,Kansai Town
南皮县,Nanpi County
默认大于,Default is greater than
它的行为是先执行,Its behavior is to execute first
来关闭动画,to turn off the animation
覆写环境变量,override environment variables
有值的时候,when worth it
主颜色鼠标放上去的颜色,Main color The color the mouse is placed on
可以用来实现简单数据过滤查找,Can be used to implement simple data filtering and searching
配置组合条件左侧选项类型,Configure the option type on the left side of the combination condition
导致没法再选这一天了,I can't choose another day
这里就是自然月份,Here is the natural month
格式字符串,format string
提交参数,Submit parameters
通过组件间联动,Linkage between components
请输入相对值,Please enter a relative value
获取日期的星期几,Get the day of the week of the date
像爱速搭的模型页面设计器就是基于此实现的,The model page designer like Ai Speed Build is based on this
义安区,Ngee Ann District
对象转换为数组,object to array
表格中亦是如此,The same is true in the form
五华区,Wuhua District
尽可能的复用,reuse as much as possible
计算出最终实际背景色,Calculate the final actual background color
同时还会把当前环境中的数据,"At the same time, the data in the current environment will be"
焦作市,Jiaozuo City
按钮组,button group
用法为,Usage is
待废弃,To be discarded
有可能不会默认选中,may not be selected by default
指定接口请求地址,Specifies the interface request address
除此之外还支持各种自定义日期格式,"In addition, various custom date formats are supported"
青秀区,Qingxiu District
防城港市,Fangchenggang
点击操作之后,After clicking
大同乡,Datong Township
的发送条件为这个字段必须存在时,The sending condition for this field must exist
同安区,Tong'an District
常见的错误写法是给容器组件加,A common mistake is to add the container component
左边点选后关联出现右边,"After clicking on the left, the association appears on the right"
时间范围选择器值格式,Time Range Picker Value Format
下需要加这个,need to add this
翔安区,Xiang'an District
盐津县,Yanjin County
这里再处理就重复了,Repeat here
它的值通常都是对象形式,Its value is usually in the form of an object
文本函数,text function
北湖区,North Lake District
郫都区,Pidu District
标签展示数,Tab Impressions
滚动至下一张,scroll to next
什么是,what is
则可以配置保存接口,Then you can configure the save interface
基类,base class
会自动将表单中的表单项值,The form item value in the form will be automatically
罗湖区,Luohu district
甘谷县,Gangu County
为垂直排列,for vertical alignment
用于判断是否优先使用,Used to determine whether to use preferentially
清除输入框,clear input box
阜新市,Fuxin City
是被除数,is the dividend
白色取,white take
上编辑此页,edit this page on
外部事件动作,external event action
巴青县,Baqing County
失败后返回,return after failure
也会作为空字符发送,is also sent as a null character
下拉框组件事件,Dropdown box component event
值则是懒加载部门树,The value is the lazy loaded department tree
快速排序操作将会在前端进行完成,The quick sort operation will be done on the front end
梁山县,Liangshan County
是树形下拉,is a tree drop down
渝水区,Yushui District
是为了避免,is to avoid
还支持几个特定状态的样式设置比如,It also supports several state-specific style settings such as
值标签,value label
找到表达式所在的位置,find where the expression is located
来配置想要的进度效果,To configure the desired progress effect
又是远程拉取的,remote pull
配置面板两端对齐布局,Configure panel justified layout
参考下面的行设置,Refer to the line settings below
请求调用成功之后执行,Executed after the request call is successful
均支持使用,Both support the use of
没有命中的返回,returns no hits
接口映射,interface mapping
应该统一这块,should unify this
来修改其它表单项值,To modify other form item values
的验证方式,verification method
显示信息的颜色,The color of the displayed information
目前我们只是在,Currently we are only
默认会水平均分宽度,"By default, the width will be divided horizontally"
配合公式编辑器,Mate formula editor
出错,go wrong
你也可以配置请求条件,You can also configure request conditions
获取左侧命中的动作节点,Get the action node hit on the left
如果没有修改过还是用原来的对象,"If it has not been modified, the original object is still used"
后续不直接试用,Do not try directly later
表头配置,header configuration
只能是字符串,can only be a string
可以当成用户离开页面的时间,Can be considered as the time when the user left the page
南岳区,Nanyue District
只能固定在左边,can only be fixed on the left
嘉模堂区,Carmo Parish
这三个字段组成的,These three fields consist of
中的变量到,variables in the
树形选择框,tree selection box
表单项静态,form item static
禁用自动跳转,Disable auto-jump
表格下方新增按钮,Add button below the table
是否隐藏展开的,Whether to hide the expanded
同时设置了,set at the same time
单滑块,single slider
关闭预览模式,Turn off preview mode
禁用提示文案,Disable prompt copy
永兴县,Yongxing County
将树形接口转换为平铺结构,Convert a tree interface to a tiled structure
轮播选项内容,Carousel option content
有时候,sometimes
新北区,Xinbei District
后景色,back view
类名前面再加个,Add a class name in front of
意思是当,mean when
链接地址集合,collection of links
也可以直接从环境变量中读取,It can also be read directly from the environment variable
外层容器样式,outer container style
鹰潭市市辖区,District of Yingtan City
的拖拽事件,The drag event
之前请用后面提到的,Please use the later mentioned
下面的例子演示了如何使用,The following example demonstrates how to use
请输入合法的电话号码,Please enter a valid phone number
内外边距,Margins
不参与计算奇偶数,Does not participate in the calculation of odd and even numbers
走走,walk around
多选全选,Select all
东平县,Dongping County
即分块编号和分块,"That is, block number and block"
分为,Divided into
会转成统一的字符串,will be converted into a unified string
就会自动合并,will automatically merge
在处理表头时,when processing headers
每个选项的高度,height of each option
原因,reason
默认表单项的,default form item's
注意上面的代码用到了,Note that the above code uses
最少选中的节点数,Minimum number of selected nodes
双台子区,Shuangtaizi District
还有就是既然是监控上层数据,"Also, since it is monitoring the upper layer data"
设置状态,set state
目录,Table of contents
最小页码,minimum page number
自定义展开按钮,custom expand button
保存并下一步按钮文本,save and next button text
就绪状态码,ready status code
表单项,form item
覆盖消息提示,Override Message Prompt
图标底边距,icon bottom margin
所以加载更多模式下,so load more mode under
乐亭县,Leting County
是否可显隐过滤器,Whether to show or hide the filter
编辑器高亮的语言,Languages highlighted by the editor
开启多个,open multiple
请选择日期,Please select a date
用来禁用默认数据类型,Used to disable default data types
请求动作执行结束后,After the request action is executed
公式运算,formula operation
列选择器,column selector
中使用了,used in
在页面右侧就会显示,on the right side of the page will show
当前属性值会和默认值做合并,The current attribute value will be merged with the default value
在外部发现变动,detect changes externally
决定会在哪个,decide where
则用,then use
蒲城县,Pucheng County
标点,punctuation
其实是,Actually
点击清除数据,Click to clear data
会解析文本内容,will parse the text content
返回下标数组,return subscript array
如果你已经掌握,if you have mastered
且是对象,and is an object
已完成,completed
开启此选项后会保留用户选择,"When this option is turned on, the user's selection will be preserved"
主要用于快捷键功能,Mainly used for shortcut key functions
这次更新构成了条件,This update constitutes the condition
就不会自动追加默认参数了,It will not automatically append the default parameters
传递过去完成渲染,Pass to finish rendering
张家口市市辖区,District of Zhangjiakou City
行间隔,row spacing
当前日期是,current date is
刻度标记,tick marks
这种情况下最后一个才是正确的文件名,In this case the last one is the correct file name
张掖市,Zhangye City
东阿县,Dong'e County
鹿草乡,Lucao Township
里的对应组件,Corresponding components in
提交失败时触发,Triggered when the commit fails
这里面是,here is
南澳县,Nan'ao County
即只能选择选项中的值,"That is, only the values in the options can be selected"
苍南县,Cangnan County
节点中其他属性将作为目标组件的,Other properties in the node will be used as the target component's
如果是按钮指定了,If the button specifies
文本长度限制,text length limit
沈河区,Shenhe District
组件的示例代码,Component sample code
通常第一列都是存在差异的,Usually the first column is different
通渭县,Tongwei County
日期范围,date range
一种是将表单项的,One is to put the form item's
当按钮行为是弹框时,When the button behavior is a popup
复用现有组件面板,Reuse an existing component palette
不能作为,cannot act as
插件查看,plug-in view
接口返回如下,The interface returns as follows
内容放在,content in
主要是为了处理,mainly to deal with
该表单项值为所有选中项的对象数组,The form item value is an object array of all selected items
配置图表点击行为,Configure Chart Click Behavior
属性传入,attribute passed in
向最近一层插入新链,Insert a new chain to the latest layer
大竹县,Dazhu County
在使用数据映射时,When using data mapping
公共动作,public action
轮询调用,poll call
会将过滤条件参数同步至浏览器地址栏中,The filter condition parameters will be synchronized to the browser address bar
单行显示选中值,Display the selected value in a single line
是否禁用响应式收纳,Whether to disable responsive storage
全等匹配过滤器,congruent match filter
才拦截处理,before interception
是否显示错误信息,Whether to display an error message
页面背景色,page background color
进度,schedule
函数让用户自己书写,Functions allow users to write their own
让后在对应的主题文件中覆盖,Then overwrite it in the corresponding theme file
第一步,first step
则可以把默认按钮去掉,You can remove the default button
树选择框,tree selection box
判断,judge
可以选择,can choose
涟源市,Lianyuan City
支持删除选项,Support delete option
改造,transform
默认渲染选项组,Default Render Options Group
但是有时候其实并不是正则的容器,But sometimes it is not a regular container
图片缩率宽度,Image shrink width
会出现,Will appear
拉萨市市辖区,District of Lhasa City
实现该函数才可以实现,Only by implementing this function can it be realized
增加点选后就不需要,"After adding a click, you don't need it"
替换单个文本变量,Replace a single text variable
龙潭乡,Longtan Township
请确认,please confirm
支持静态设置图片地址,Support for statically setting image URLs
默认需要渲染出来,By default it needs to be rendered
这个计算方法在官方文档里没找到,This calculation method was not found in the official document
指定是否可以自动获取上层的数据并映射到表格行数据上,Specifies whether the upper-level data can be automatically obtained and mapped to table row data
轮播图组件事件,Carousel Component Events
沿滩区,Coastal area
可以拿到当前,can get the current
横向模式使用,landscape mode use
监听表格列点击事件,Listen to table column click events
如果有默认值,If there is a default
对文本进行替换,to replace the text
但这里简化了,but here simplified
花王堂区,Kao Parish
而,and
注意过滤掉,Pay attention to filter out
条,strip
实战,combat
删除了文本,deleted text
里原来,Urihara
可以直接选用对应的运算器,You can directly select the corresponding operator
如果没有数据会插入到结尾,If there is no data will be inserted to the end
则不设置前缀,then do not set the prefix
临江市,Linjiang City
是特殊语法,is special syntax
来显示字符串,to display the string
连平县,Lianping County
子元素一,child element one
控制表格可选中的最大个数,Control the maximum number of selectable tables
组内单独分列,Separate columns within groups
来映射当前数据域中某个字段,To map a field in the current data domain
两端对齐,justify
选项自定义类名,Option custom class name
配置了数组结构的,Configured with an array structure
东兰县,Donglan County
选框,marquee
不能,cannot
上边框,top border
并补充了,and added
先看,look first
公共控件相关声明,Statements related to common controls
在初始化接口中,in the initialization interface
对象形式的配置,object configuration
显示面包屑完整路径,Show breadcrumb full path
中工具栏的类名,The class name of the toolbar in
来支持文件上传,to support file uploads
是否可写入,Is it possible to write
水平模式用数组包起来也能控制一行显示多个,Wrapping the horizontal mode with an array can also control a row to display multiple
选中分栏组件同级组件拖动时有问题,There is a problem when dragging the same-level components of the column component
甘肃省,Gansu province
所配置的,Configured
表单验证,form validation
差不多,almost
的子,son
支持的语法有,The supported syntaxes are
雅江县,Yajiang County
去除收尾空白,remove trailing whitespace
可以设置一个,can set a
只是格式是取变量,It's just that the format is to take variables
出版社,publishing house
无法知晓页面首次打开的时间,No way of knowing when the page was first opened
是否达到数量上限,Is the quantity limit reached?
可自定义悬浮层样式,Customizable suspension layer style
南木林县,Nanmulin County
鸡东县,Jidong County
商洛市,Shangluo
某些情况下需要用,in some cases need to use
边栏内容是否粘住,Whether the sidebar content is sticky
键值为对应的类名,The key value is the corresponding class name
表示左右范围都排除,Indicates that the left and right ranges are excluded
避免渲染卡死问题,Avoid rendering stuck problems
会对,will
四月,April
是不确定的,is uncertain
配置使得,configuration such that
返回格式不正确,The return format is incorrect
因为渲染支持成员配置成字符串,Because the rendering support members are configured as strings
折叠器折叠状态改变时触发,Triggered when the folded state of the folder changes
第几大,What is the largest
插入行,insert row
只能在,only in
默认切换页面,switch page by default
祁连县,Qilian County
切换表单的,Toggle form's
有校验不通过的,There are those that fail the verification
注意这里不一定是,Note that it is not necessarily
大同区,Datong District
当表格滚动是,When the table scrolls is
默认返回,return by default
复用组件物料选择面板,Reuse component material selection panel
镇巴县,Zhenba County
青冈县,Qinggang County
可以供给用户选择,available for users to choose
前天,the day before yesterday
期末补考,final exam
佳县,Jia County
不在,absent
所以默认进行了限制,So by default it's restricted
则进入轮顺状态,then enter the state of rotation
修水县,Xiushui County
当前运行环境,current operating environment
如果默认的表单检测规则不满足需求,If the default form detection rules do not meet the requirements
免得晃动个不停,keep from shaking
永康区,Yongkang District
列表展示控件,list display control
为了使用户编写,In order for users to write
勾选后,After checking
曲靖市,Qujing City
那么该选择器将自动选中该选项,then the selector will automatically select the option
指定条件表达式,Specify a conditional expression
打开的目标地址,open target address
数据进去,data goes in
顺城区,Shuncheng District
这个事件主要由,This event was mainly
新窗口打开,open in a new window
对比会引发性能问题,Comparing can cause performance problems
属性包含的表单项,The form item that the attribute contains
是否显示步长,Whether to display the step size
是否固定底部容器,Whether to fix the bottom container
可编辑,editable
除了新增组件,In addition to adding components
站酷高端黑,Station cool high-end black
这个字符串需要返回,This string needs to return
还支持下面这些配置,The following configurations are also supported
居中对齐,center alignment
传入数值的绝对值,The absolute value of the incoming value
为了演示,for demonstration
如果想要支持,if you want to support
衡水市,Hengshui
当前组件也许并不关心上层数据是否变化,The current component may not care whether the upper layer data changes
主要,main
重新上传,re-upload
顺昌县,Shunchang County
绥化市,Suihua City
发送指定数据,Send specified data
菜单项,Menu Item
具体请参考,"For details, please refer to"
目前只有英文和德语,Currently only in English and German
可以配置触发条件,Trigger conditions can be configured
隐藏内容二,Hidden content two
集集镇,Jiji Town
修改成某个纬度的结尾,Modified to the end of a certain latitude
请求的头部信息,request headers
变量列表,variable list
东辽县,Dongliao County
兆,trillion
南岸区,South Bank area
查看,Check
此刻,now
子标题,subtitle
是否成功,whether succeed
获取上下文数据结构时触发,Fired when the context data structure is fetched
语言直接录入返回适配器的函数体,The language directly enters the function body of the return adapter
二仑乡,Erlun Township
春日乡,Kasuga Township
页面中添加,page add
动态加载页面,Dynamically load pages
表单区域,form area
这是一个标题,this is a title
怀化市,Huaihua City
欲拖拽区域,area to be dragged
文字相对于时间轴展示方向,The orientation of the text relative to the timeline
值匹配字段,value match field
默认当开启全选后居左排列,"By default, when all selections are enabled, they are arranged on the left"
默认会从返回数据的,"By default, data will be returned from"
关闭之后的默认值,Default value after shutdown
单个数组内的,within a single array
安龙县,Anlong County
提交时将以,will be submitted with
这里没配置,There is no configuration here
会将这些文字通过,will pass these texts through
葵青,Kwai Tsing
如果当前字段有值,If the current field has a value
隐藏错误提示,hide error message
开头的好么,good start
信宜市,Xinyi City
季度后,quarter after
属性优先级高于,attribute takes precedence over
会发现勾选后值为,It will be found that the selected value is
默认不包含子节点的值,"By default, the value of the child node is not included"
季度前,quarter ago
平铺,tiling
判断文本是否为空,Check if the text is empty
以二维码,by QR code
字符会尝试去解析该变量并替换成对应变量,character will try to parse the variable and replace it with the corresponding variable
用来自定义选项展示,Used to customize the display of options
校验接口返回格式字段说明,Validation interface return format field description
但可以看到,but can see
按钮选中样式,button selected style
描述,describe
中屏,Middle screen
字符串转整形数字,String to Integer Number
获取浏览器滚动条宽度,Get browser scroll bar width
后面的操作就不执行,Subsequent operations will not be performed
重置数据,reset data
编辑行,edit line
阳高县,Yanggao County
生成对应的,generate the corresponding
区域占位字符,field placeholder
下面那个千万不要写,Do not write the following
可以用来做,can be used to do
但是又配置了,But configured again
多轴模式,multi-axis mode
所以纯变量模式支持纯数字作为变量名,So the pure variable mode supports pure numbers as variable names
执行到这里的时候,When executing here
用于在只选择子节点模式的时候禁用按钮,Used to disable the button when only child node mode is selected
选择上层还有更多的配置,Select the upper layer and more configuration
查询条件切换,Query condition switching
计算每个标记,Count each markup
中的值,the value in
五峰乡,Wufeng Township
开启后完全替换当前数据,Completely replace the current data after opening
芒康县,Mangkang County
日期时间值,datetime value
手动输入日期,Enter date manually
取值可以是,The value can be
的序号赋值给,The serial number is assigned to
这里面的,in here
模型除了用来提交数据外,"In addition to being used to submit data, the model"
在拥有,in possession
递归可能需要优化,Recursion may need optimization
标签文本内容,label text content
硚口区,Qiaokou District
三乡镇,Three Townships
页面中获取到页面高度,Get the page height from the page
那么数组内放置的就是那个表单项的值,Then the value of the form item is placed in the array
莒南县,Junan County
归仁区,Quy Nhon District
比如这个例子的第二列,"For example, the second column of this example"
就能看到,you can see
发送请求,send request
静默加载,silent loading
联动更新,linkage update
可以考虑把部分列放在当前行的底部展示,Consider displaying some columns at the bottom of the current row
组件描述信息,Component description information
前面的例子中组件参数都是静态的,"In the previous example, the component parameters are all static"
跳转页,jump page
有自定义,have custom
实现链接跳转,Realize link jump
作为展示组件,as a presentation component
当前节点是布局类容器节点,The current node is a layout class container node
应该也行啊,It should be fine
静态展示空值占位,Statically display empty placeholders
康马县,comma county
将它的,will it
默认属性,default property
时间戳,timestamp
指定添加位置,Specify where to add
如果带点,if with point
当前请求的响应,the response to the current request
北安市,Beian
指定要覆盖哪个方法,specify which method to override
文件后执行,Execute after file
没有值的时候展示,Shown when there is no value
可以自定义展示模板,Customizable display templates
迁西县,Qianxi County
没有移动,no movement
的值封装为数组,The value of is packed as an array
即将提交的表单数据,Form data to be submitted
类乌齐县,Leiwuqi County
中可以配置各种,Various
来限制可选择的文件类型,to limit the file types that can be selected
时不可点,Time is not available
控制选中,control selected
否则每次,otherwise every time
构成了条件,constitutes a condition
东海县,Donghai County
指定为数组输入框类型,Specify as an array input box type
中获取数据,get data from
集安市,Ji'an City
解析字体,parsing fonts
自动添加的,automatically added
可以手动控制每行显示的列数,The number of columns displayed per row can be manually controlled
不能更新,cannot update
这个例子中我们监听了,In this example we listened to
配置放大预览,Configure magnified preview
如果前面有单元格找不到位置,"If there is a cell in front of it, the position cannot be found"
静乐县,Jingle County
数据源字段名,Data source field name
可获取父级数据,Can get parent data
泗县,Sixian
可以在浏览器控制台查看运行日志,You can view the operation log in the browser console
当滚动至父容器上下边沿时会自动开启吸附模式,"When scrolling to the upper and lower edges of the parent container, the adsorption mode will be automatically turned on"
也可以是其他渲染器,Can also be other renderers
如果发现某个组件不满足需求,If a component is found not to meet the requirements
进来了新的值,In came the new value
自适应宽度,adaptive width
是否自动调整地图视野使绘制的,Whether to automatically adjust the map field of view so that the drawn
支持刷新目标组件的数据请求,Support for data requests to refresh target components
请手动输入意见,Please enter comments manually
则以配置的为准,is subject to the configuration
请在此输入内容后点击搜索,Please enter the content here and click search
香格里拉市,Shangri-la
迷你版本,mini version
如果希望在满足某个条件的情况下停止轮询,If you want to stop polling if a certain condition is met
如果你的表单组件性质和,If your form component properties and
之后可以加一些,can add some later
年份范围选择,Year range selection
创建中,creating
分页的时候是否保留用户选择,Whether to keep the user selection when paging
默认的图片保存,default picture save
或者用下面的新版方法,Or use the following new version method
默认是拼接成字符串,The default is to concatenate into a string
此处的,here
石景山区,Shijingshan District
提交失败,Submission Failed
当某组件的值发生变化时,When the value of a component changes
凉城县,Liangcheng County
所以需要把原始的记录下来,So you need to record the original
且有一定的开发经验,And have certain development experience
搜索作业,search job
上面这段代码中,In the code above
还需返回,still need to return
可以为浮层添加标题,You can add a title to the floating layer
用来匹配值的字段,the field to match the value on
包裹也有多种策略,Packages also have multiple strategies
图片集数据,Image set data
来看个简单的例子,Let's look at a simple example
平塘县,Pingtang County
数据获取函数,data acquisition function
澧县,Li County
详细配置项请参考,"For detailed configuration items, please refer to"
固定表头情况下,In case of fixed head
下设置无效,The following settings are invalid
布局位置,layout position
可以尝试点击下方按钮,You can try clicking the button below
某个条件下请求接口,request interface under certain conditions
清除组件数据,Clear component data
过滤词,filter word
编辑器展现控制,Editor display control
范围限制,range limit
限制只存储某些,Limit storage to only certain
深坑区,pit area
它不依赖,it does not depend on
配置超出折叠,Configuration out of the fold
展示其他,show other
获取页面变量树形结构,Get page variable tree structure
是用来给编辑器提示用的,It is used to prompt the editor
这里是容器内容区,Here is the container content area
这是一段很长的描述文字,This is a long descriptive text
盐埔乡,Yanpu Township
可通过以下新增配置项,You can add configuration items through the following
点击页面底部的下一篇,Click Next at the bottom of the page
用户头像,profile picture
然后其他组件就可以通过这个,Then other components can pass this
每个插件都可以通过实现,Each plugin can be implemented by
判断是否含有公式表达式,Determine whether it contains a formula expression
茂名市,Maoming
请求的,requested
上栗县,Shangli County
卡若区,Karo District
如果要解析多个,If you want to parse multiple
这样就不用重新渲染整个文档了,This way you don't have to re-render the entire document
组合类型目前还是手动解析,Combination types are currently resolved manually
土库镇,Tuku Town
不关闭,not closed
赤水市,Chishui City
追加触发事件的按钮所在数据域的所有数据,Append all the data in the data field where the button that triggered the event is located
字段名,field name
格式是数组,The format is an array
远程数据,remote data
会覆盖,will cover
